koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
0.984971822,1.64247,6683.5,1.274,56.1,2321.0,6852.37,279.1
2.384052875,3.0918,1268.1,1.178,17.06,1010.0,244.87,50.5
3.012476582,3.1424,1138.5,1.261,65.25,2371.0,7471.65,253.4
10.8118317,2.627,76.8,0.896,1.24,922.0,170.74,9.5
90.08255562,19.7301,43252.2,0.099,49.2,666.0,46.58,3571.6
1.89129881,5.294,82.0,0.699,0.86,1414.0,944.68,29.8
3.47143963,3.663,99.8,0.719,1.19,1358.0,805.05,27.5
1.846861455,1.6605,648.6,0.48,2.23,1337.0,753.4,35.9
27.467217305,4.17961,71766.5,1.076,38.87,527.0,18.22,1986.1
3.442714533,3.36034,60039.0,1.142,47.02,1157.0,423.13,964.8
35.14578122,2.253,6789.4,1.276,32.5,480.0,12.6,86.8
0.573709256,1.4932,131.2,0.69,7.05,4415.0,90258.45,37.5
0.527678272,2.33166,247744.0,0.385,75.31,2551.0,9989.53,706.1
0.585940879,4.6979,1943.6,1.254,26.57,1873.0,2897.54,189.9
498.68845,17.88,548.3,0.1119,2.44,246.0,0.87,9.4
2.31894284,5.321,66.5,0.72,0.87,1375.0,844.12,13.6
0.566791802,2.2,49.3,0.679,0.66,2040.0,4113.39,15.6
12.56096618,3.7647,923.1,0.022,2.74,734.0,68.49,55.1
1.625522174,2.38963,7969.0,0.076,9.73,1579.0,1467.41,799.7
