,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
6947,K06724.01,FALSE POSITIVE,17.445640466,6.08966,334158.0,0.588,63.46,682.0,51.15,4093.9
6948,K06725.01,FALSE POSITIVE,14.313157391,8.90236,21566.9,0.004,34.98,1144.0,404.48,4262.9
6949,K06726.01,FALSE POSITIVE,0.676990194,1.69459,20505.9,1.223,37.5,1919.0,3192.15,997.0
6950,K06727.01,FALSE POSITIVE,0.515875396,1.21,1773.0,0.95,7.22,3189.0,24441.1,9.1
6951,K06853.01,FALSE POSITIVE,2.83401711,5.938,84.2,0.2794,0.93,1381.0,859.57,11.5
6952,K06854.01,FALSE POSITIVE,0.566803996,3.399,141.6,0.123,0.64,1350.0,786.1,23.4
6954,K06856.01,FALSE POSITIVE,0.566799927,4.71,145.1,0.188,0.77,1649.0,1738.27,28.9
6955,K06857.01,FALSE POSITIVE,0.566786121,3.404,81.8,0.591,0.79,1984.0,3678.65,14.0
6956,K06858.01,FALSE POSITIVE,0.56679797,4.503,72.6,0.176,0.65,1799.0,2467.38,14.0
6957,K06859.01,FALSE POSITIVE,0.566802891,1.861,49.2,0.628,1.29,3111.0,22107.66,14.4
6958,K06984.01,FALSE POSITIVE,1.01884975,3.233,30.9,0.2737,0.47,1754.0,2238.64,14.8
6959,K06986.01,FALSE POSITIVE,32.440339204,4.50984,287602.0,0.645,44.56,448.0,9.52,2177.0
6960,K06987.01,FALSE POSITIVE,0.552141897,4.985,105.6,1.091,10.04,2206.0,5602.43,42.8
6961,K06988.01,FALSE POSITIVE,2.62387291,4.61248,232468.0,0.49,74.23,1790.0,2430.91,2607.6
6962,K06989.01,FALSE POSITIVE,0.75509861,2.6423,60334.0,1.091,60.74,2359.0,7285.15,385.4
6963,K06990.01,FALSE POSITIVE,3.671661096,4.29947,129243.0,0.923,105.82,1967.0,3539.43,3152.6
6964,K06991.01,FALSE POSITIVE,22.673145675,6.6324,65410.8,0.605,30.92,684.0,51.67,912.0
6965,K07119.01,FALSE POSITIVE,0.50948306,3.14,74.6,0.3535,1.22,3024.0,19778.63,8.0
6966,K07120.01,FALSE POSITIVE,17.329965871,8.43812,252721.0,0.705,42.58,548.0,21.34,1938.7
6967,K07121.01,FALSE POSITIVE,1.890227354,3.855,112262.0,0.957,42.05,1236.0,551.66,252.0
6968,K07122.01,FALSE POSITIVE,1.387206724,3.82527,151432.0,0.856,103.41,2619.0,11126.98,1752.6
6969,K07123.01,FALSE POSITIVE,1.38718209,2.595,45.5,0.28,0.68,1707.0,2011.41,7.2
6970,K07124.01,FALSE POSITIVE,35.026564845,2.90121,120249.0,0.777,34.88,489.0,13.56,1607.2
6971,K07126.01,FALSE POSITIVE,3.138580493,4.16343,233337.0,0.619,59.24,1281.0,635.61,2387.8
6973,K07251.01,FALSE POSITIVE,581.0723,15.81,1364.2,88.7243,161858.0,639.0,39.36,15.9
6974,K07253.01,FALSE POSITIVE,3.50474265,8.2852,88625.0,1.049,200.24,2689.0,12355.55,977.2
6975,K07254.01,FALSE POSITIVE,2.14344093,3.9741,133317.0,0.686,28.69,1033.0,269.48,645.9
6976,K07256.01,FALSE POSITIVE,9.058487716,4.14334,127971.0,0.213,20.51,547.0,21.15,2098.9
6977,K07257.01,FALSE POSITIVE,2.856085147,4.5776,173843.0,0.841,88.52,1739.0,2164.0,422.1
6978,K07384.01,FALSE POSITIVE,0.876941133,1.296,73.5,0.386,0.85,1938.0,3332.14,12.3
6979,K07385.01,FALSE POSITIVE,39.238141571,6.07183,439208.0,0.459,90.93,656.0,43.69,969.3
6980,K07386.01,FALSE POSITIVE,53.7406575,47.2475,116722.0,0.386,25.44,398.0,5.93,3568.1
6981,K07387.01,FALSE POSITIVE,7.436016459,4.16284,106527.0,0.433,31.39,968.0,207.61,742.1
6982,K07388.01,FALSE POSITIVE,0.750737313,1.712,38.8,0.463,0.48,1603.0,1558.69,13.4
6983,K07390.01,FALSE POSITIVE,14.361021578,13.2895,459877.0,0.003,45.9,594.0,29.44,2599.0
6984,K07391.01,FALSE POSITIVE,2.570431263,5.49699,76826.0,1.054,50.18,1411.0,936.9,822.9
6985,K07392.01,FALSE POSITIVE,6.64024496,6.03491,224329.0,0.756,74.4,1114.0,364.44,2941.0
6986,K07517.01,FALSE POSITIVE,14.844240386,6.83577,83412.4,0.275,28.97,810.0,101.98,4542.8
6987,K07518.01,FALSE POSITIVE,4.42158021,10.4532,61032.0,1.146,188.89,2565.0,10243.23,370.6
6988,K07519.01,FALSE POSITIVE,25.321698729,4.45367,119590.0,0.954,56.62,655.0,43.39,673.3
6989,K07521.01,FALSE POSITIVE,37.878483588,10.5972,222232.0,0.763,46.42,503.0,15.19,1157.6
6990,K07522.01,FALSE POSITIVE,10.116144515,2.70314,58143.5,0.879,17.21,549.0,21.56,1144.8
6991,K07523.01,FALSE POSITIVE,0.684496369,2.263,28.4,0.501,1.12,2913.0,17099.5,16.3
6992,K07524.01,FALSE POSITIVE,1.953285321,1.67598,1520.3,1.312,151.56,2927.0,17363.68,237.7
6993,K07898.01,FALSE POSITIVE,1.012174295,4.6617,323029.0,0.596,114.4,2737.0,13215.77,596.0
